category_all_arts-mace_label	category_all_arts-mace_label_distribution	category_all_beauty-mace_label	category_all_beauty-mace_label_distribution	category_all_books-mace_label	category_all_books-mace_label_distribution	category_all_business-mace_label	category_all_business-mace_label_distribution	category_all_family-mace_label	category_all_family-mace_label_distribution	category_all_finance-mace_label	category_all_finance-mace_label_distribution	category_all_games-mace_label	category_all_games-mace_label_distribution	category_all_gastronomy-mace_label	category_all_gastronomy-mace_label_distribution	category_all_health-mace_label	category_all_health-mace_label_distribution	category_all_lifestyle-mace_label	category_all_lifestyle-mace_label_distribution	category_all_other-mace_label	category_all_other-mace_label_distribution	category_all_politics-mace_label	category_all_politics-mace_label_distribution	category_all_religion-mace_label	category_all_religion-mace_label_distribution	category_all_sports-mace_label	category_all_sports-mace_label_distribution	category_all_style-mace_label	category_all_style-mace_label_distribution	category_all_travel-mace_label	category_all_travel-mace_label_distribution	category_most_index-mace_label	category_most_index-mace_label_distribution	classify_account-mace_label	classify_account-mace_label_distribution	user_id
n	{'n': 0.9999410356451183, 'y': 5.896435488177447e-05}	n	{'n': 0.9996037161082303, 'y': 0.00039628389176977623}	n	{'n': 0.9999999997677123, 'y': 2.3228774273080969e-10}	n	{'n': 0.9999999998997839, 'y': 1.0021605122884834e-10}	y	{'y': 0.9998972557477831, 'n': 0.00010274425221681963}	n	{'n': 0.9999999999962828, 'y': 3.717246088987712e-12}	n	{'n': 0.9999999999972559, 'y': 2.74420622412208e-12}	n	{'n': 0.99999999948436, 'y': 5.156400436473603e-10}	n	{'n': 0.9999999993509673, 'y': 6.490327131527176e-10}	n	{'n': 0.9999999999996106, 'y': 3.893939650873231e-13}	n	{'n': 0.9993236528128102, 'y': 0.00067634718718973}	n	{'n': 0.9999999999264939, 'y': 7.350618191670904e-11}	n	{'n': 0.9999999999970095, 'y': 2.9904599057409942e-12}	n	{'n': 0.9999999999996935, 'y': 3.065739431616084e-13}	n	{'n': 0.9982599246597689, 'y': 0.0017400753402310768}	n	{'n': 0.9999904193745316, 'y': 9.580625468489094e-06}	family	{'family': 0.9981873848445482, 'other': 0.0006463581270699415, 'style': 0.00036353896021365235, 'arts': 7.297436983347555e-05, 'travel': 7.297436983347555e-05, 'games': 7.297436983347555e-05, 'science and technology': 7.297436983347555e-05, 'books': 7.297436983347555e-05, 'gastronomy': 7.297436983347555e-05, 'health': 7.297436983347555e-05, 'sports': 7.297436983347555e-05, 'beauty': 7.297436983347555e-05, 'business': 7.297436983347555e-05, 'politics': 7.297436983347555e-05}	promoting	{'promoting': 0.9998399644144674, 'personal': 0.00015924857350784063, 'missing': 4.025568642701499e-07, 'non_english': 3.844551602922601e-07}	848573956017795077
n	{'n': 0.9999999943972132, 'y': 5.6027867833384e-09}	n	{'n': 0.9999999451192381, 'y': 5.4880761879139824e-08}	n	{'n': 0.9999999999999999, 'y': 1.7962587252410318e-16}	n	{'n': 0.9999999999990427, 'y': 9.573372591649468e-13}	n	{'n': 0.9999999851451106, 'y': 1.4854889526614099e-08}	n	{'n': 0.9999999999999999, 'y': 1.8957468227072987e-16}	n	{'n': 0.999999999998782, 'y': 1.2181227465108767e-12}	n	{'n': 0.9999999999983343, 'y': 1.6656887588812224e-12}	n	{'n': 0.9999999999993862, 'y': 6.138782144975162e-13}	n	{'n': 0.9999999999999973, 'y': 2.649681271779852e-15}	n	{'n': 0.9849291856537593, 'y': 0.015070814346240816}	n	{'n': 0.9999998918241999, 'y': 1.0817580000975913e-07}	n	{'n': 0.9999999999999979, 'y': 2.1082668291852227e-15}	n	{'n': 0.9999999999999981, 'y': 1.813148258102195e-15}	n	{'n': 0.9999999873385921, 'y': 1.2661407984762047e-08}	n	{'n': 0.9999999865428486, 'y': 1.3457151382990458e-08}	other	{'other': 0.963290575452911, 'politics': 0.03666453776676659, 'arts': 3.7405650268877043e-06, 'family': 3.7405650268877043e-06, 'travel': 3.7405650268877043e-06, 'style': 3.7405650268877043e-06, 'games': 3.7405650268877043e-06, 'science and technology': 3.7405650268877043e-06, 'books': 3.7405650268877043e-06, 'gastronomy': 3.7405650268877043e-06, 'health': 3.7405650268877043e-06, 'sports': 3.7405650268877043e-06, 'beauty': 3.7405650268877043e-06, 'business': 3.7405650268877043e-06}	promoting	{'promoting': 0.9999999930912596, 'personal': 3.2999835811517798e-09, 'missing': 1.8043783714634026e-09, 'non_english': 1.8043783714634026e-09}	817193616082878464
n	{'n': 0.9999999930961733, 'y': 6.903826631088938e-09}	n	{'n': 0.9219874222887516, 'y': 0.07801257771124831}	n	{'n': 0.9999999999996708, 'y': 3.2911200218051034e-13}	n	{'n': 0.9999999999989635, 'y': 1.0364776152822982e-12}	n	{'n': 0.999999999998606, 'y': 1.3938893338063232e-12}	n	{'n': 0.9999999999999363, 'y': 6.371160930384188e-14}	n	{'n': 0.999999999999479, 'y': 5.211150741580451e-13}	n	{'n': 0.9999999999991729, 'y': 8.272146687012957e-13}	n	{'n': 0.9999999995494755, 'y': 4.5052458630277396e-10}	n	{'n': 0.9999999999999927, 'y': 7.313181880577551e-15}	n	{'n': 0.9999612672258319, 'y': 3.873277416813033e-05}	n	{'n': 0.9999999999985674, 'y': 1.4326761788137898e-12}	n	{'n': 0.9999999999999405, 'y': 5.9504770374421e-14}	n	{'n': 0.9999999999999559, 'y': 4.404984489062581e-14}	y	{'y': 0.9957863609094308, 'n': 0.004213639090569176}	y	{'y': 0.999968619741045, 'n': 3.13802589550768e-05}	style	{'style': 0.9997735857817902, 'travel': 0.00021485754660358457, 'other': 3.865964295595809e-06, 'arts': 6.991552100101561e-07, 'family': 6.991552100101561e-07, 'games': 6.991552100101561e-07, 'science and technology': 6.991552100101561e-07, 'books': 6.991552100101561e-07, 'gastronomy': 6.991552100101561e-07, 'health': 6.991552100101561e-07, 'sports': 6.991552100101561e-07, 'beauty': 6.991552100101561e-07, 'business': 6.991552100101561e-07, 'politics': 6.991552100101561e-07}	promoting	{'promoting': 0.9999999824509086, 'personal': 1.5769783827185935e-08, 'missing': 8.896538146467428e-10, 'non_english': 8.896538146467428e-10}	957846689196531715
n	{'n': 0.9999999082722705, 'y': 9.172772950462909e-08}	n	{'n': 0.9999987872718157, 'y': 1.21272818430885e-06}	n	{'n': 0.999999999995636, 'y': 4.363893338223597e-12}	n	{'n': 0.99999995694771, 'y': 4.305228988562648e-08}	n	{'n': 0.9999997520578592, 'y': 2.479421407642528e-07}	n	{'n': 0.9999999996541653, 'y': 3.458346680271232e-10}	n	{'n': 0.9999999992308621, 'y': 7.691379436713354e-10}	n	{'n': 0.9999999999837328, 'y': 1.6267207846262706e-11}	n	{'n': 0.9999999962224092, 'y': 3.7775908333800814e-09}	n	{'n': 0.999999999988166, 'y': 1.1834070834483509e-11}	n	{'n': 0.9973804582663063, 'y': 0.002619541733693807}	n	{'n': 0.9999999993522065, 'y': 6.47793425753546e-10}	n	{'n': 0.9999999999963057, 'y': 3.6942194842592555e-12}	n	{'n': 0.9999999999203012, 'y': 7.969872927435636e-11}	n	{'n': 0.9999931782301396, 'y': 6.82176986046487e-06}	y	{'y': 0.9999883158374643, 'n': 1.1684162535826114e-05}	travel	{'travel': 0.999999988810984, 'arts': 8.606934851705368e-10, 'family': 8.606934851705368e-10, 'style': 8.606934851705368e-10, 'games': 8.606934851705368e-10, 'science and technology': 8.606934851705368e-10, 'books': 8.606934851705368e-10, 'gastronomy': 8.606934851705368e-10, 'health': 8.606934851705368e-10, 'sports': 8.606934851705368e-10, 'beauty': 8.606934851705368e-10, 'business': 8.606934851705368e-10, 'other': 8.606934851705368e-10, 'politics': 8.606934851705368e-10}	promoting	{'promoting': 0.9999998309656959, 'personal': 5.634476810567837e-08, 'missing': 5.634476810567837e-08, 'non_english': 5.634476810567837e-08}	843259085185146880
n	{'n': 0.5249827567152213, 'y': 0.4750172432847787}	n	{'n': 0.5027528530214822, 'y': 0.49724714697851774}	n	{'n': 0.5084934440440526, 'y': 0.4915065559559475}	n	{'n': 0.6263234737141696, 'y': 0.3736765262858303}	n	{'n': 0.6137807309082084, 'y': 0.38621926909179166}	n	{'n': 0.5752074726413398, 'y': 0.4247925273586602}	n	{'n': 0.5243188355730232, 'y': 0.4756811644269768}	n	{'n': 0.9992302880961241, 'y': 0.0007697119038758348}	n	{'n': 0.5472300415655799, 'y': 0.4527699584344202}	y	{'y': 0.7911229166303444, 'n': 0.20887708336965563}	n	{'n': 0.5004629245943958, 'y': 0.49953707540560416}	n	{'n': 0.5285346100166229, 'y': 0.47146538998337706}	n	{'n': 0.5407841421434968, 'y': 0.4592158578565032}	n	{'n': 0.5653900868207388, 'y': 0.43460991317926123}	y	{'y': 0.8072783062389386, 'n': 0.19272169376106138}	n	{'n': 0.5428969686511511, 'y': 0.4571030313488489}	style	{'style': 0.24389991685417645, 'arts': 0.058161544857371024, 'family': 0.058161544857371024, 'travel': 0.058161544857371024, 'games': 0.058161544857371024, 'science and technology': 0.058161544857371024, 'books': 0.058161544857371024, 'gastronomy': 0.058161544857371024, 'health': 0.058161544857371024, 'sports': 0.058161544857371024, 'beauty': 0.058161544857371024, 'business': 0.058161544857371024, 'other': 0.058161544857371024, 'politics': 0.058161544857371024}	non_english	{'non_english': 0.9999814229869968, 'personal': 1.786665290910717e-05, 'promoting': 4.5773436432171467e-07, 'missing': 2.526257298978801e-07}	872762728896577536
n	{'n': 0.999999439635675, 'y': 5.603643250498572e-07}	n	{'n': 0.9999999999994746, 'y': 5.252624135262246e-13}	n	{'n': 1.0, 'y': 8.83663602783114e-18}	n	{'n': 0.9999999999999982, 'y': 1.7231812584170621e-15}	n	{'n': 0.9999999999999994, 'y': 6.177879542427686e-16}	n	{'n': 1.0, 'y': 8.625284777671302e-18}	n	{'n': 1.0, 'y': 8.797232871606414e-18}	n	{'n': 0.999999999999965, 'y': 3.4989956083391256e-14}	n	{'n': 0.9999999999975216, 'y': 2.4783334108479934e-12}	n	{'n': 1.0, 'y': 1.0102067347064351e-18}	n	{'n': 0.9999934674394777, 'y': 6.532560522290956e-06}	n	{'n': 0.9999999999999972, 'y': 2.8300852986677167e-15}	n	{'n': 1.0, 'y': 7.595527046694879e-18}	n	{'n': 0.9999999999999981, 'y': 1.874198653006674e-15}	n	{'n': 0.9999999999988493, 'y': 1.1506278900129772e-12}	n	{'n': 0.9999999915467619, 'y': 8.453238087707344e-09}	other	{'other': 0.8602277350667904, 'arts': 0.13644765890063423, 'gastronomy': 0.001826318025492163, 'health': 0.00019893413359937432, 'family': 0.0001299353873484473, 'travel': 0.0001299353873484473, 'style': 0.0001299353873484473, 'games': 0.0001299353873484473, 'science and technology': 0.0001299353873484473, 'books': 0.0001299353873484473, 'sports': 0.0001299353873484473, 'beauty': 0.0001299353873484473, 'business': 0.0001299353873484473, 'politics': 0.0001299353873484473}	promoting	{'promoting': 0.9999999823158578, 'personal': 5.896534691552917e-09, 'missing': 5.8938035934102805e-09, 'non_english': 5.8938035934102805e-09}	1013519408390647809
n	{'n': 0.9989876114942907, 'y': 0.0010123885057092671}	y	{'y': 0.9961204317067502, 'n': 0.0038795682932498037}	n	{'n': 0.9999999999995002, 'y': 4.997770285441872e-13}	n	{'n': 0.9999999693239758, 'y': 3.067602407736134e-08}	n	{'n': 0.9999999993610834, 'y': 6.389165821480236e-10}	n	{'n': 0.9999999999999558, 'y': 4.4126853432456674e-14}	n	{'n': 1.0, 'y': 8.076876910953179e-17}	n	{'n': 0.9999999999958167, 'y': 4.183280638095232e-12}	n	{'n': 0.9999999999999178, 'y': 8.217521089012112e-14}	n	{'n': 1.0, 'y': 7.780750684155191e-17}	n	{'n': 0.9972398195511034, 'y': 0.0027601804488965715}	n	{'n': 0.999999999999295, 'y': 7.050215438711837e-13}	n	{'n': 1.0, 'y': 7.897475388049055e-17}	n	{'n': 0.9999999999999968, 'y': 3.262236240427075e-15}	n	{'n': 0.9999982673674463, 'y': 1.7326325537450722e-06}	n	{'n': 0.9912579689527002, 'y': 0.008742031047299757}	arts	{'arts': 0.8123310574096362, 'beauty': 0.16878759150543982, 'style': 0.013197847617161213, 'other': 0.0012498284248711228, 'family': 0.00044336750428914377, 'travel': 0.00044336750428914377, 'games': 0.00044336750428914377, 'science and technology': 0.00044336750428914377, 'books': 0.00044336750428914377, 'gastronomy': 0.00044336750428914377, 'health': 0.00044336750428914377, 'sports': 0.00044336750428914377, 'business': 0.00044336750428914377, 'politics': 0.00044336750428914377}	promoting	{'promoting': 0.9999999983513699, 'missing': 5.538587267079774e-10, 'personal': 5.47385775524117e-10, 'non_english': 5.47385775524117e-10}	977480276841508864
n	{'n': 0.9999902831439555, 'y': 9.716856044515911e-06}	n	{'n': 0.9999999851384768, 'y': 1.4861523260826115e-08}	n	{'n': 0.9999999999888955, 'y': 1.1104480740183637e-11}	n	{'n': 0.9999999988966841, 'y': 1.1033157914512941e-09}	y	{'y': 0.9998957708552345, 'n': 0.00010422914476545754}	n	{'n': 0.9999999999896941, 'y': 1.0305834602400899e-11}	n	{'n': 0.9999999953871374, 'y': 4.612862629175363e-09}	n	{'n': 0.9999999976264407, 'y': 2.373559263430375e-09}	n	{'n': 0.9999999934255017, 'y': 6.574498343831828e-09}	n	{'n': 0.9999999995653645, 'y': 4.3463548440514594e-10}	y	{'y': 0.9999230700706295, 'n': 7.692992937054479e-05}	n	{'n': 0.9999999998801338, 'y': 1.1986611928484157e-10}	y	{'y': 0.9997311890795058, 'n': 0.00026881092049425295}	n	{'n': 0.9999999998943221, 'y': 1.0567787736126131e-10}	n	{'n': 0.9999998804193568, 'y': 1.1958064323975743e-07}	n	{'n': 0.999999988319642, 'y': 1.1680358022461386e-08}	family	{'family': 0.9999967377986995, 'other': 2.138451723763959e-06, 'arts': 9.364579806993208e-08, 'travel': 9.364579806993208e-08, 'style': 9.364579806993208e-08, 'games': 9.364579806993208e-08, 'science and technology': 9.364579806993208e-08, 'books': 9.364579806993208e-08, 'gastronomy': 9.364579806993208e-08, 'health': 9.364579806993208e-08, 'sports': 9.364579806993208e-08, 'beauty': 9.364579806993208e-08, 'business': 9.364579806993208e-08, 'politics': 9.364579806993208e-08}	promoting	{'promoting': 0.9988003637392047, 'personal': 0.0011940302890025823, 'non_english': 2.8102998468442937e-06, 'missing': 2.795671946137777e-06}	841687571595984898
n	{'n': 0.9203006208723138, 'y': 0.07969937912768625}	n	{'n': 0.9817665558358598, 'y': 0.018233444164140144}	y	{'y': 0.9931755981420864, 'n': 0.006824401857913588}	n	{'n': 0.9939995928908789, 'y': 0.006000407109121133}	n	{'n': 0.9973213544847068, 'y': 0.0026786455152931644}	n	{'n': 0.9964013450834709, 'y': 0.0035986549165291214}	n	{'n': 0.9970099036194511, 'y': 0.0029900963805489936}	n	{'n': 0.999865385542784, 'y': 0.00013461445721600645}	n	{'n': 0.9556106360529524, 'y': 0.04438936394704756}	n	{'n': 0.9967836051016787, 'y': 0.003216394898321323}	y	{'y': 0.7419735544146945, 'n': 0.2580264455853056}	n	{'n': 0.993980956836105, 'y': 0.006019043163894992}	n	{'n': 0.9966369531460842, 'y': 0.003363046853915788}	n	{'n': 0.9989752349745388, 'y': 0.0010247650254612461}	n	{'n': 0.9958307963703706, 'y': 0.004169203629629354}	n	{'n': 0.996686302785049, 'y': 0.0033136972149510205}	books	{'books': 0.7408953419008351, 'other': 0.08173168339399983, 'arts': 0.014781081225430419, 'family': 0.014781081225430419, 'travel': 0.014781081225430419, 'style': 0.014781081225430419, 'games': 0.014781081225430419, 'science and technology': 0.014781081225430419, 'gastronomy': 0.014781081225430419, 'health': 0.014781081225430419, 'sports': 0.014781081225430419, 'beauty': 0.014781081225430419, 'business': 0.014781081225430419, 'politics': 0.014781081225430419}	promoting	{'promoting': 0.998367508396153, 'personal': 0.0005491001140005005, 'missing': 0.0005416957449232656, 'non_english': 0.0005416957449232656}	916392485219266560
n	{'n': 0.9784792000165414, 'y': 0.021520799983458513}	n	{'n': 0.9993594391315396, 'y': 0.0006405608684603933}	n	{'n': 0.9999957031288236, 'y': 4.296871176392513e-06}	n	{'n': 0.9999154137623126, 'y': 8.458623768737948e-05}	n	{'n': 0.9884980103627024, 'y': 0.011501989637297667}	n	{'n': 0.9999972154206678, 'y': 2.7845793321901034e-06}	n	{'n': 0.9999976769558029, 'y': 2.3230441971747155e-06}	n	{'n': 0.9999738212683036, 'y': 2.617873169639356e-05}	n	{'n': 0.999925012189536, 'y': 7.498781046396953e-05}	n	{'n': 0.9999974338245068, 'y': 2.566175493175779e-06}	n	{'n': 0.8996693542324895, 'y': 0.10033064576751055}	n	{'n': 0.9998305462402666, 'y': 0.0001694537597333876}	n	{'n': 0.9999771777316612, 'y': 2.2822268338779137e-05}	y	{'y': 0.9922185226132034, 'n': 0.007781477386796564}	n	{'n': 0.9956693188648588, 'y': 0.004330681135141276}	n	{'n': 0.9999217225339407, 'y': 7.82774660593522e-05}	sports	{'sports': 0.977150224108901, 'family': 0.012665004111511073, 'arts': 0.0008487309816323168, 'travel': 0.0008487309816323168, 'style': 0.0008487309816323168, 'games': 0.0008487309816323168, 'science and technology': 0.0008487309816323168, 'books': 0.0008487309816323168, 'gastronomy': 0.0008487309816323168, 'health': 0.0008487309816323168, 'beauty': 0.0008487309816323168, 'business': 0.0008487309816323168, 'other': 0.0008487309816323168, 'politics': 0.0008487309816323168}	promoting	{'promoting': 0.9992121162361209, 'personal': 0.0002626279212930045, 'missing': 0.0002626279212930045, 'non_english': 0.0002626279212930045}	902335831561646080
n	{'n': 0.9999999979856313, 'y': 2.014368726065217e-09}	n	{'n': 0.9999989727700138, 'y': 1.027229986126479e-06}	n	{'n': 0.9999999999999929, 'y': 7.030827851757174e-15}	n	{'n': 0.9999999999999785, 'y': 2.1448744011422433e-14}	n	{'n': 0.9999999677923042, 'y': 3.22076959392813e-08}	n	{'n': 0.9999999999999998, 'y': 2.0242931701884474e-16}	n	{'n': 0.9999999999999998, 'y': 3.306857514942934e-16}	n	{'n': 0.9999999999986902, 'y': 1.3098329088379413e-12}	n	{'n': 0.999999999995826, 'y': 4.173928260560562e-12}	n	{'n': 0.9999999999999979, 'y': 2.14391844382779e-15}	n	{'n': 0.9999531604151809, 'y': 4.683958481912282e-05}	n	{'n': 0.9999999999999994, 'y': 5.788513265159865e-16}	n	{'n': 1.0, 'y': 1.8124784302258628e-17}	n	{'n': 0.9999999999999998, 'y': 2.8764298050646934e-16}	n	{'n': 0.9999998860252014, 'y': 1.1397479863237996e-07}	y	{'y': 0.9999895306080933, 'n': 1.0469391906801956e-05}	travel	{'travel': 0.999996650988791, 'family': 1.1398370097906305e-06, 'gastronomy': 9.473505446686089e-07, 'style': 5.499053517004538e-07, 'arts': 7.11918303679131e-08, 'games': 7.11918303679131e-08, 'science and technology': 7.11918303679131e-08, 'books': 7.11918303679131e-08, 'health': 7.11918303679131e-08, 'sports': 7.11918303679131e-08, 'beauty': 7.11918303679131e-08, 'business': 7.11918303679131e-08, 'other': 7.11918303679131e-08, 'politics': 7.11918303679131e-08}	promoting	{'promoting': 0.9999999974814232, 'personal': 2.1425619396497176e-09, 'missing': 1.8800730025200422e-10, 'non_english': 1.8800730025200422e-10}	1015247812718624779
y	{'y': 0.9999856794977815, 'n': 1.4320502218535324e-05}	n	{'n': 0.9999916255906616, 'y': 8.374409338371526e-06}	n	{'n': 0.9999999999999987, 'y': 1.270607916987324e-15}	n	{'n': 0.9999999999764538, 'y': 2.35461897773446e-11}	n	{'n': 0.9999999882098943, 'y': 1.1790105688763907e-08}	n	{'n': 0.9999999999999882, 'y': 1.17727975755547e-14}	n	{'n': 0.9999999999999987, 'y': 1.2657028271942321e-15}	n	{'n': 0.9999999999777506, 'y': 2.224938927657066e-11}	n	{'n': 0.9999999999225774, 'y': 7.74226090814301e-11}	n	{'n': 0.9999999999999916, 'y': 8.434769541129107e-15}	y	{'y': 0.8300007627459229, 'n': 0.16999923725407706}	n	{'n': 0.9999999999999938, 'y': 6.287187916375253e-15}	n	{'n': 0.9999999999999993, 'y': 6.78963666340964e-16}	n	{'n': 0.9999999999996415, 'y': 3.5848051112074256e-13}	n	{'n': 0.9999851935031621, 'y': 1.4806496838003282e-05}	n	{'n': 0.9999996591966056, 'y': 3.4080339434655237e-07}	arts	{'arts': 0.9999997223128454, 'other': 1.786526559854777e-07, 'family': 8.252874861452233e-09, 'travel': 8.252874861452233e-09, 'style': 8.252874861452233e-09, 'games': 8.252874861452233e-09, 'science and technology': 8.252874861452233e-09, 'books': 8.252874861452233e-09, 'gastronomy': 8.252874861452233e-09, 'health': 8.252874861452233e-09, 'sports': 8.252874861452233e-09, 'beauty': 8.252874861452233e-09, 'business': 8.252874861452233e-09, 'politics': 8.252874861452233e-09}	promoting	{'promoting': 0.9999982705634782, 'personal': 5.766569007495463e-07, 'missing': 5.763898105562444e-07, 'non_english': 5.763898105562444e-07}	913577428005597184
n	{'n': 0.9999989996922605, 'y': 1.0003077395764101e-06}	n	{'n': 0.9999999783922333, 'y': 2.160776673192312e-08}	n	{'n': 0.9999999998930078, 'y': 1.0699225765318359e-10}	n	{'n': 0.9999999778210417, 'y': 2.2178958424589614e-08}	n	{'n': 0.999972472373918, 'y': 2.7527626082022752e-05}	n	{'n': 0.9999999997351068, 'y': 2.6489323756125154e-10}	n	{'n': 0.999999999997545, 'y': 2.4550540417169228e-12}	n	{'n': 0.9999999999756929, 'y': 2.4307182320815225e-11}	n	{'n': 0.9999999745049739, 'y': 2.5495026074457888e-08}	n	{'n': 0.9999999999783967, 'y': 2.1603191406502847e-11}	n	{'n': 0.8788262906996579, 'y': 0.12117370930034199}	n	{'n': 0.999999999619371, 'y': 3.8062891406438437e-10}	n	{'n': 0.999999999996793, 'y': 3.2069394842263186e-12}	n	{'n': 0.9999999997270991, 'y': 2.729009689065589e-10}	n	{'n': 0.999999901684874, 'y': 9.831512595807945e-08}	y	{'y': 0.9996814854029923, 'n': 0.0003185145970075873}	travel	{'travel': 0.9999989712426534, 'beauty': 9.655644692753653e-08, 'arts': 7.76834082609009e-08, 'family': 7.76834082609009e-08, 'style': 7.76834082609009e-08, 'games': 7.76834082609009e-08, 'science and technology': 7.76834082609009e-08, 'books': 7.76834082609009e-08, 'gastronomy': 7.76834082609009e-08, 'health': 7.76834082609009e-08, 'sports': 7.76834082609009e-08, 'business': 7.76834082609009e-08, 'other': 7.76834082609009e-08, 'politics': 7.76834082609009e-08}	promoting	{'promoting': 0.9994094080237721, 'personal': 0.0003942903020753412, 'missing': 9.815083707624621e-05, 'non_english': 9.815083707624621e-05}	853226703262449664
n	{'n': 0.9997398533600598, 'y': 0.0002601466399402593}	n	{'n': 0.7362282298469427, 'y': 0.2637717701530573}	n	{'n': 0.999992383378542, 'y': 7.616621457990951e-06}	n	{'n': 0.9999900893362285, 'y': 9.91066377152669e-06}	y	{'y': 0.9660944143503116, 'n': 0.03390558564968844}	n	{'n': 0.9999925623569662, 'y': 7.437643033776786e-06}	n	{'n': 0.9999925459199661, 'y': 7.454080033949578e-06}	n	{'n': 0.8635972684720743, 'y': 0.13640273152792565}	n	{'n': 0.998625248381142, 'y': 0.0013747516188579892}	n	{'n': 0.9999925956953091, 'y': 7.404304690899103e-06}	y	{'y': 0.9609283929008156, 'n': 0.03907160709918451}	n	{'n': 0.9991353309159061, 'y': 0.0008646690840938629}	y	{'y': 0.9422420264007275, 'n': 0.05775797359927243}	n	{'n': 0.9986999613145037, 'y': 0.0013000386854963685}	n	{'n': 0.9926319294415494, 'y': 0.007368070558450458}	n	{'n': 0.9485065225212064, 'y': 0.0514934774787936}	family	{'family': 0.7098165373262613, 'gastronomy': 0.02371844119771232, 'arts': 0.022205418456335533, 'travel': 0.022205418456335533, 'style': 0.022205418456335533, 'games': 0.022205418456335533, 'science and technology': 0.022205418456335533, 'books': 0.022205418456335533, 'health': 0.022205418456335533, 'sports': 0.022205418456335533, 'beauty': 0.022205418456335533, 'business': 0.022205418456335533, 'other': 0.022205418456335533, 'politics': 0.022205418456335533}	non_english	{'non_english': 0.997259558057813, 'promoting': 0.002376576361822303, 'missing': 0.00019177076694817474, 'personal': 0.00017209481341657284}	912986561305866241
n	{'n': 0.9654625490312896, 'y': 0.03453745096871052}	y	{'y': 0.9989890777261508, 'n': 0.001010922273849269}	n	{'n': 0.9997823972289273, 'y': 0.00021760277107265913}	n	{'n': 0.9997602501975545, 'y': 0.0002397498024454348}	n	{'n': 0.999890452208436, 'y': 0.00010954779156395623}	n	{'n': 0.9998604156992296, 'y': 0.00013958430077041963}	n	{'n': 0.9998838102236306, 'y': 0.00011618977636931416}	n	{'n': 0.9999153732058359, 'y': 8.462679416402396e-05}	n	{'n': 0.9902614889274558, 'y': 0.009738511072544323}	n	{'n': 0.9998750133347142, 'y': 0.00012498666528586782}	n	{'n': 0.5174289751381748, 'y': 0.48257102486182524}	n	{'n': 0.9998846289089817, 'y': 0.00011537109101833225}	n	{'n': 0.9998695438094146, 'y': 0.00013045619058536619}	n	{'n': 0.9999599185130806, 'y': 4.0081486919360766e-05}	n	{'n': 0.9976755163714894, 'y': 0.0023244836285105904}	y	{'y': 0.9947577645731323, 'n': 0.005242235426867759}	travel	{'travel': 0.6799491461374007, 'other': 0.08960020765063781, 'style': 0.052205603247826186, 'arts': 0.016204094814921393, 'family': 0.016204094814921393, 'games': 0.016204094814921393, 'science and technology': 0.016204094814921393, 'books': 0.016204094814921393, 'gastronomy': 0.016204094814921393, 'health': 0.016204094814921393, 'sports': 0.016204094814921393, 'beauty': 0.016204094814921393, 'business': 0.016204094814921393, 'politics': 0.016204094814921393}	promoting	{'promoting': 0.9357096925882117, 'personal': 0.021430102470596055, 'missing': 0.021430102470596055, 'non_english': 0.021430102470596055}	885539285356728320
	{'n': 0.5, 'y': 0.5}		{'n': 0.5, 'y': 0.5}		{'n': 0.5, 'y': 0.5}		{'n': 0.5, 'y': 0.5}		{'n': 0.5, 'y': 0.5}		{'n': 0.5, 'y': 0.5}		{'n': 0.5, 'y': 0.5}		{'n': 0.5, 'y': 0.5}		{'n': 0.5, 'y': 0.5}		{'n': 0.5, 'y': 0.5}		{'n': 0.5, 'y': 0.5}		{'n': 0.5, 'y': 0.5}		{'n': 0.5, 'y': 0.5}		{'n': 0.5, 'y': 0.5}		{'n': 0.5, 'y': 0.5}		{'n': 0.5, 'y': 0.5}		{'arts': 0.07142857142857145, 'family': 0.07142857142857145, 'travel': 0.07142857142857145, 'style': 0.07142857142857145, 'games': 0.07142857142857145, 'science and technology': 0.07142857142857145, 'books': 0.07142857142857145, 'gastronomy': 0.07142857142857145, 'health': 0.07142857142857145, 'sports': 0.07142857142857145, 'beauty': 0.07142857142857145, 'business': 0.07142857142857145, 'other': 0.07142857142857145, 'politics': 0.07142857142857145}	non_english	{'non_english': 0.9999995499692285, 'personal': 1.5001025722260572e-07, 'missing': 1.5001025722260572e-07, 'promoting': 1.5001025722260572e-07}	917042721725886464
